RecipientName,country_code,country_type,gdp,climate_class_number,climate_class,meta_category,no_projects,effective_funding,climate_funding
Argentina,ARG,UMICs,552902000000.0,12,Energy-efficiency,Mitigation,2,0.033941,0.033941
Argentina,ARG,UMICs,552902000000.0,13,Wind-energy,Mitigation,5,0.0924053,0.0924053
Armenia,ARM,LMICs,11751535093.0,0,Adaptation,Adaptation,8,1.3214651999999998,1.3214651999999998
Armenia,ARM,LMICs,11751535093.0,1,Solar-energy,Mitigation,10,0.27694865999999996,0.27694865999999996
Armenia,ARM,LMICs,11751535093.0,3,Other-mitigation-projects,Mitigation,1,0.492537,0.492537
Armenia,ARM,LMICs,11751535093.0,4,Biodiversity,Environment,7,0.7133505,0.0
Armenia,ARM,LMICs,11751535093.0,5,Geothermal-energy,Mitigation,2,0.0182472,0.0182472
Armenia,ARM,LMICs,11751535093.0,6,Nature_conservation,Environment,6,0.7941623199999998,0.0
Armenia,ARM,LMICs,11751535093.0,7,Other-environment-projects,Environment,46,50.50940183000001,0.0
Armenia,ARM,LMICs,11751535093.0,8,Sustainable-land-use,Environment,30,19.751234540000002,0.0
Armenia,ARM,LMICs,11751535093.0,10,Renewables-multiple,Mitigation,41,37.5445048,37.5445048
Armenia,ARM,LMICs,11751535093.0,11,Hydro-energy,Mitigation,6,30.880309999999998,30.880309999999998
Armenia,ARM,LMICs,11751535093.0,12,Energy-efficiency,Mitigation,32,48.32575663000001,48.32575663000001
Azerbaijan,AZE,UMICs,45393607318.0,0,Adaptation,Adaptation,12,3.5267094,3.5267094
Azerbaijan,AZE,UMICs,45393607318.0,3,Other-mitigation-projects,Mitigation,1,0.00483033,0.00483033
Azerbaijan,AZE,UMICs,45393607318.0,4,Biodiversity,Environment,3,0.5222,0.0
Azerbaijan,AZE,UMICs,45393607318.0,6,Nature_conservation,Environment,3,0.1137638,0.0
Azerbaijan,AZE,UMICs,45393607318.0,7,Other-environment-projects,Environment,4,0.09343699999999999,0.0
Azerbaijan,AZE,UMICs,45393607318.0,8,Sustainable-land-use,Environment,8,0.0857761999999998,0.0
Bangladesh,BGD,LDCs,248563000000.0,0,Adaptation,Adaptation,401,210.6865387418,210.6865387418
Bangladesh,BGD,LDCs,248563000000.0,1,Solar-energy,Mitigation,31,10.99871686,10.99871686
Bangladesh,BGD,LDCs,248563000000.0,2,Bioenergy,Mitigation,5,5.4730799999999995,5.4730799999999995
Bangladesh,BGD,LDCs,248563000000.0,3,Other-mitigation-projects,Mitigation,30,10.1198169,10.1198169
Bangladesh,BGD,LDCs,248563000000.0,4,Biodiversity,Environment,41,16.22016113,0.0
Bangladesh,BGD,LDCs,248563000000.0,6,Nature_conservation,Environment,9,3.760333598,0.0
Bangladesh,BGD,LDCs,248563000000.0,7,Other-environment-projects,Environment,123,35.63239783,0.0
Bangladesh,BGD,LDCs,248563000000.0,8,Sustainable-land-use,Environment,90,83.647220245,0.0
Bangladesh,BGD,LDCs,248563000000.0,10,Renewables-multiple,Mitigation,49,41.588516979999994,41.588516979999994
Bangladesh,BGD,LDCs,248563000000.0,11,Hydro-energy,Mitigation,3,0.0,0.0
Bangladesh,BGD,LDCs,248563000000.0,12,Energy-efficiency,Mitigation,33,298.41445840000006,298.41445840000006
Bangladesh,BGD,LDCs,248563000000.0,13,Wind-energy,Mitigation,1,0.0113301,0.0113301
Belarus,BLR,UMICs,56403141352.0,0,Adaptation,Adaptation,11,0.0824642499999999,0.0824642499999999
Belarus,BLR,UMICs,56403141352.0,1,Solar-energy,Mitigation,1,0.000951012,0.000951012
Belarus,BLR,UMICs,56403141352.0,2,Bioenergy,Mitigation,6,0.51733088,0.51733088
Belarus,BLR,UMICs,56403141352.0,4,Biodiversity,Environment,3,0.07253789,0.0
Belarus,BLR,UMICs,56403141352.0,6,Nature_conservation,Environment,11,0.2983166449999996,0.0
Belarus,BLR,UMICs,56403141352.0,7,Other-environment-projects,Environment,23,2.5927084249999997,0.0
Belarus,BLR,UMICs,56403141352.0,8,Sustainable-land-use,Environment,17,1.700864984,0.0
Belarus,BLR,UMICs,56403141352.0,10,Renewables-multiple,Mitigation,4,0.21077114000000002,0.21077114000000002
Belarus,BLR,UMICs,56403141352.0,11,Hydro-energy,Mitigation,1,0.00651222,0.00651222
Belarus,BLR,UMICs,56403141352.0,12,Energy-efficiency,Mitigation,8,0.92712389,0.92712389
Belize,BLZ,Small Island Developing States,1817262720.0,0,Adaptation,Adaptation,16,0.7175140599999996,0.7175140599999996
Belize,BLZ,Small Island Developing States,1817262720.0,1,Solar-energy,Mitigation,3,0.6454880000000001,0.6454880000000001
Belize,BLZ,Small Island Developing States,1817262720.0,3,Other-mitigation-projects,Mitigation,3,0.15209340000000002,0.15209340000000002
Belize,BLZ,Small Island Developing States,1817262720.0,4,Biodiversity,Environment,5,0.3262198999999999,0.0
Belize,BLZ,Small Island Developing States,1817262720.0,6,Nature_conservation,Environment,16,0.18499166999999972,0.0
Belize,BLZ,Small Island Developing States,1817262720.0,7,Other-environment-projects,Environment,1,0.008753,0.0
Belize,BLZ,Small Island Developing States,1817262720.0,8,Sustainable-land-use,Environment,8,0.47078277,0.0
Belize,BLZ,Small Island Developing States,1817262720.0,10,Renewables-multiple,Mitigation,15,1.7768970599999998,1.7768970599999998
Benin,BEN,LDCs,12910515819.0,0,Adaptation,Adaptation,43,13.759524509999999,13.759524509999999
Benin,BEN,LDCs,12910515819.0,1,Solar-energy,Mitigation,42,14.802368419999999,14.802368419999999
Benin,BEN,LDCs,12910515819.0,2,Bioenergy,Mitigation,6,0.8218852999999998,0.8218852999999998
Benin,BEN,LDCs,12910515819.0,3,Other-mitigation-projects,Mitigation,2,0.01250911,0.01250911
Benin,BEN,LDCs,12910515819.0,4,Biodiversity,Environment,1,0.0,0.0
Benin,BEN,LDCs,12910515819.0,6,Nature_conservation,Environment,25,8.337958270000001,0.0
Benin,BEN,LDCs,12910515819.0,7,Other-environment-projects,Environment,73,11.584139079999998,0.0
Benin,BEN,LDCs,12910515819.0,8,Sustainable-land-use,Environment,64,7.783164901989999,0.0
Benin,BEN,LDCs,12910515819.0,10,Renewables-multiple,Mitigation,17,3.5002443000000003,3.5002443000000003
