RecipientName,country_type,country_code,gdp,Mitigation_funding,effective_funding,perc_Mitigation
Panama,UMICs,PAN,61229480000.0,2.1532612700000002,4.925051753999998,0.015365080945471888
Papua New Guinea,Small Island Developing States,PNG,22721464066.0,16.84430811,49.595716003999996,0.1201963557263158
Paraguay,UMICs,PRY,37951446286.0,0.7853066,15.302380234999996,0.005603732182492332
Peru,UMICs,PER,208320000000.0,92.847642415,518.276993594,0.6625352720446709
Philippines,LMICs,PHL,335438000000.0,12.45148951,909.405186306,0.08885040885579298
Rwanda,LDCs,RWA,9264008577.0,23.402007129999994,110.02161924,0.16699029460505743
Saint Helena,UMICs,SHN,39000000.0,0.0906119759999999,86.973022954,0.0006465821706202677
Saint Lucia,Small Island Developing States,LCA,1972174244.0,0.8166488999999998,1.0137350269999998,0.005827382225906367
Saint Vincent and the Grenadines,Small Island Developing States,VCT,791738518.5,2.954615,3.7511576399999997,0.021083321039673655
Samoa,Small Island Developing States,WSM,818146882.9,2.9149996999999996,20.74497017,0.020800637140761954
Sao Tome and Principe,Small Island Developing States,STP,378432924.4,2.1541639,3.1616676099999994,0.015371521865209327
Senegal,LDCs,SEN,20925147137.0,66.145599591,168.15882460158,0.471996829210831
Serbia,UMICs,SRB,45277164757.0,334.90011305,384.347139312,2.3897552133378293
Seychelles,Small Island Developing States,SYC,1522697136.0,0.2301664,1.0619783049999998,0.0016424042062150035
Sierra Leone,LDCs,SLE,3931937097.0,48.74877307,61.7354681,0.3478578538743652
Solomon Islands,Small Island Developing States,SLB,1303084723.0,5.6429598499999996,17.25337536,0.04026661143043634
South Africa,UMICs,ZAF,336651000000.0,523.7214682440051,675.0060942920052,3.7371325368474775
South Sudan,LDCs,SSD,11997800760.0,0.7009012039999999,194.02927372399998,0.005001438461872628
Sri Lanka,LMICs,LKA,84573583661.0,56.64886092,79.459139137,0.40423071070450217
Sudan,LDCs,SDN,43285344619.0,2.66589122,33.435921369,0.01902306745484852
Suriname,Small Island Developing States,SUR,3713945432.0,1.0662000999999997,2.0789678589999996,0.007608111040129475
Tajikistan,LMICs,TJK,7520944062.0,10.72309247,37.614987375,0.07651704235005817
Tanzania,LDCs,TZA,54330302947.0,99.46377279000002,374.034311249,0.7097461610222405
Thailand,UMICs,THA,464237000000.0,12.40974493,36.007775455,0.08855253099969115
Timor-Leste,Small Island Developing States,TLS,1620903797.0,0.0722262,27.944171372,0.0005153863234552311
Togo,LDCs,TGO,4860823923.0,10.41893816,22.646379160000002,0.07434668074175035
Tokelau,LMICs,TKL,10000000.0,1.6469,2.3919965999999997,0.011751826014637624
Tonga,Small Island Developing States,TON,429268751.8,28.465862270000002,31.702648370000002,0.2031245738986445
Tunisia,LMICs,TUN,40669025774.0,48.797063490000006,297.975530992,0.34820244104663667
Turkey,UMICs,TUR,820392000000.0,155.911727148,591.157100958,1.1125432576871392
Turkmenistan,UMICs,TKM,37666785714.0,0.073191,0.2367721999999999,0.0005222708712352556
Tuvalu,Small Island Developing States,TUV,40503750.82,3.0077616999999996,4.309313099999999,0.02146256129205822
Uganda,LDCs,UGA,31801742338.0,106.46225024,308.4338394517,0.7596853737004631
Ukraine,LMICs,UKR,116252000000.0,212.15496457999998,245.99162804999997,1.5138795506015954
Uruguay,MADCTs,URY,56226960599.0,0.0180837,2.0572493369999996,0.00012904031580600062
Uzbekistan,LMICs,UZB,66220052410.0,0.757627674,20.212534503999994,0.005406222969653648
Vanuatu,Small Island Developing States,VUT,853435051.6,2.89300108,8.961647294,0.020643661031221533
Viet Nam,LMICs,VNM,225886000000.0,509.12490812400006,1334.051301895,3.632975493346052
Wallis and Futuna,UMICs,WLF,171000000.0,0.0,5.1692751044,0.0
West Bank and Gaza Strip,LMICs,PSE,13803175000.0,74.433661915,108.153594325,0.5311381653151004
Yemen,LDCs,YEM,29303367642.0,11.790107300000003,25.34242021,0.08413096707967027
Zambia,LDCs,ZMB,23627242513.0,49.91763752,159.34627096699998,0.35619854951532404
Zimbabwe,LMICs,ZWE,21661004060.0,11.850485699999998,136.089512927,0.08456181075678616
