RecipientName,country_code,country_type,gdp,climate_class_number,climate_class,meta_category,no_projects,effective_funding,climate_funding
Afghanistan,AFG,LDCs,19609450491.0,0,Adaptation,Adaptation,119,47.6728895,47.6728895
Afghanistan,AFG,LDCs,19609450491.0,1,Solar-energy,Mitigation,20,19.78788469,19.78788469
Afghanistan,AFG,LDCs,19609450491.0,2,Bioenergy,Mitigation,1,3.12038,3.12038
Afghanistan,AFG,LDCs,19609450491.0,3,Other-mitigation-projects,Mitigation,14,29.870918,29.870918
Afghanistan,AFG,LDCs,19609450491.0,4,Biodiversity,Environment,14,0.0521852999999999,0.0
Afghanistan,AFG,LDCs,19609450491.0,5,Geothermal-energy,Mitigation,2,0.501256,0.501256
Afghanistan,AFG,LDCs,19609450491.0,6,Nature_conservation,Environment,6,5.27796,0.0
Afghanistan,AFG,LDCs,19609450491.0,7,Other-environment-projects,Environment,34,29.79484128,0.0
Afghanistan,AFG,LDCs,19609450491.0,8,Sustainable-land-use,Environment,62,38.542530291,0.0
Afghanistan,AFG,LDCs,19609450491.0,10,Renewables-multiple,Mitigation,34,59.68424747,59.68424747
Afghanistan,AFG,LDCs,19609450491.0,11,Hydro-energy,Mitigation,18,77.9693792,77.9693792
Afghanistan,AFG,LDCs,19609450491.0,12,Energy-efficiency,Mitigation,32,17.5346698,17.5346698
Afghanistan,AFG,LDCs,19609450491.0,13,Wind-energy,Mitigation,1,0.0,0.0
Albania,ALB,UMICs,13338567710.0,0,Adaptation,Adaptation,13,0.4283711199999999,0.4283711199999999
Albania,ALB,UMICs,13338567710.0,1,Solar-energy,Mitigation,2,0.0794718,0.0794718
Albania,ALB,UMICs,13338567710.0,2,Bioenergy,Mitigation,1,0.00724,0.00724
Albania,ALB,UMICs,13338567710.0,3,Other-mitigation-projects,Mitigation,3,0.0809137999999999,0.0809137999999999
Albania,ALB,UMICs,13338567710.0,4,Biodiversity,Environment,18,7.05793004,0.0
Albania,ALB,UMICs,13338567710.0,6,Nature_conservation,Environment,35,3.6784021329999996,0.0
Albania,ALB,UMICs,13338567710.0,7,Other-environment-projects,Environment,56,23.656213610000002,0.0
Albania,ALB,UMICs,13338567710.0,8,Sustainable-land-use,Environment,34,16.1754902,0.0
Albania,ALB,UMICs,13338567710.0,10,Renewables-multiple,Mitigation,17,7.33372804,7.33372804
Albania,ALB,UMICs,13338567710.0,11,Hydro-energy,Mitigation,32,3.9206558799999995,3.9206558799999995
Albania,ALB,UMICs,13338567710.0,12,Energy-efficiency,Mitigation,13,5.6788942,5.6788942
Algeria,DZA,UMICs,167430000000.0,0,Adaptation,Adaptation,30,7.207373593,7.207373593
Algeria,DZA,UMICs,167430000000.0,1,Solar-energy,Mitigation,9,0.39389692999999987,0.39389692999999987
Algeria,DZA,UMICs,167430000000.0,2,Bioenergy,Mitigation,1,0.10411,0.10411
Algeria,DZA,UMICs,167430000000.0,3,Other-mitigation-projects,Mitigation,2,0.5850759999999999,0.5850759999999999
Algeria,DZA,UMICs,167430000000.0,4,Biodiversity,Environment,6,0.27306259999999977,0.0
Algeria,DZA,UMICs,167430000000.0,5,Geothermal-energy,Mitigation,1,0.09897,0.09897
