RecipientName,country_code,country_type,gdp,climate_class_number,climate_class,meta_category,no_projects,effective_funding,climate_funding
Afghanistan,AFG,LDCs,19609450491.0,0,Adaptation,Adaptation,37,13.14594565,13.14594565
Afghanistan,AFG,LDCs,19609450491.0,1,Solar-energy,Mitigation,15,40.384652470000006,40.384652470000006
Afghanistan,AFG,LDCs,19609450491.0,2,Bioenergy,Mitigation,7,14.385479,14.385479
Afghanistan,AFG,LDCs,19609450491.0,3,Other-mitigation-projects,Mitigation,13,53.979850000000006,53.979850000000006
Afghanistan,AFG,LDCs,19609450491.0,4,Biodiversity,Environment,17,4.07485,0.0
Afghanistan,AFG,LDCs,19609450491.0,6,Nature_conservation,Environment,1,0.1224869999999999,0.0
Afghanistan,AFG,LDCs,19609450491.0,7,Other-environment-projects,Environment,14,2.1906195499999996,0.0
Afghanistan,AFG,LDCs,19609450491.0,8,Sustainable-land-use,Environment,25,15.409855100000001,0.0
Afghanistan,AFG,LDCs,19609450491.0,10,Renewables-multiple,Mitigation,17,27.2189953,27.2189953
Afghanistan,AFG,LDCs,19609450491.0,11,Hydro-energy,Mitigation,21,26.556117754,26.556117754
Afghanistan,AFG,LDCs,19609450491.0,12,Energy-efficiency,Mitigation,40,80.767198,80.767198
Albania,ALB,UMICs,13338567710.0,0,Adaptation,Adaptation,6,0.5641612899999999,0.5641612899999999
Albania,ALB,UMICs,13338567710.0,4,Biodiversity,Environment,3,0.45443329,0.0
Albania,ALB,UMICs,13338567710.0,6,Nature_conservation,Environment,7,1.4790446,0.0
Albania,ALB,UMICs,13338567710.0,7,Other-environment-projects,Environment,24,10.31928572,0.0
Albania,ALB,UMICs,13338567710.0,8,Sustainable-land-use,Environment,17,7.95343845,0.0
Albania,ALB,UMICs,13338567710.0,10,Renewables-multiple,Mitigation,9,2.3867458,2.3867458
Albania,ALB,UMICs,13338567710.0,11,Hydro-energy,Mitigation,17,4.7745386,4.7745386
Albania,ALB,UMICs,13338567710.0,12,Energy-efficiency,Mitigation,3,0.7163409999999999,0.7163409999999999
Algeria,DZA,UMICs,167430000000.0,0,Adaptation,Adaptation,14,0.26634042299999977,0.26634042299999977
Algeria,DZA,UMICs,167430000000.0,1,Solar-energy,Mitigation,7,1.0277227,1.0277227
