DonorName,country_code,gdp,climate_class_number,climate_class,meta_category,no_projects,effective_funding,climate_funding
Australia,AUS,1343450000000.0,0,Adaptation,Adaptation,352,51.712834241900055,51.712834241900055
Australia,AUS,1343450000000.0,1,Solar-energy,Mitigation,2,0.00115841,0.00115841
Australia,AUS,1343450000000.0,2,Bioenergy,Mitigation,2,0.0,0.0
Australia,AUS,1343450000000.0,3,Other-mitigation-projects,Mitigation,23,18.93979345,18.93979345
Australia,AUS,1343450000000.0,4,Biodiversity,Environment,49,2.741310479999999,0.0
Australia,AUS,1343450000000.0,5,Geothermal-energy,Mitigation,4,0.00706023,0.00706023
Australia,AUS,1343450000000.0,6,Nature_conservation,Environment,157,32.99464548,0.0
Australia,AUS,1343450000000.0,7,Other-environment-projects,Environment,176,37.47916377287,0.0
Australia,AUS,1343450000000.0,8,Sustainable-land-use,Environment,206,45.84074143,0.0
Australia,AUS,1343450000000.0,9,Marine-energy,Mitigation,1,0.0103188,0.0103188
Australia,AUS,1343450000000.0,10,Renewables-multiple,Mitigation,44,4.7526468066,4.7526468066
Australia,AUS,1343450000000.0,11,Hydro-energy,Mitigation,44,4.88425745,4.88425745
Australia,AUS,1343450000000.0,12,Energy-efficiency,Mitigation,3,0.192297,0.192297
Australia,AUS,1343450000000.0,13,Wind-energy,Mitigation,1,0.00173762,0.00173762
Austria,AUT,419437000000.0,0,Adaptation,Adaptation,14,2.25677252,2.25677252
Austria,AUT,419437000000.0,1,Solar-energy,Mitigation,86,4.134692430999999,4.134692430999999
Austria,AUT,419437000000.0,2,Bioenergy,Mitigation,15,1.5863232799999998,1.5863232799999998
Austria,AUT,419437000000.0,3,Other-mitigation-projects,Mitigation,16,2.4904610999999997,2.4904610999999997
Austria,AUT,419437000000.0,4,Biodiversity,Environment,16,0.8056723199999994,0.0
Austria,AUT,419437000000.0,5,Geothermal-energy,Mitigation,8,2.28897182,2.28897182
Austria,AUT,419437000000.0,6,Nature_conservation,Environment,106,6.298896949999999,0.0
Austria,AUT,419437000000.0,7,Other-environment-projects,Environment,80,8.899880658999999,0.0
Austria,AUT,419437000000.0,8,Sustainable-land-use,Environment,113,11.254491778999999,0.0
Austria,AUT,419437000000.0,10,Renewables-multiple,Mitigation,26,5.99957,5.99957
Austria,AUT,419437000000.0,11,Hydro-energy,Mitigation,55,7.325009859999999,7.325009859999999
Austria,AUT,419437000000.0,12,Energy-efficiency,Mitigation,33,13.44178397,13.44178397
Austria,AUT,419437000000.0,13,Wind-energy,Mitigation,11,0.4607196999999995,0.4607196999999995
Belgium,BEL,502827000000.0,0,Adaptation,Adaptation,21,4.67083087,4.67083087
Belgium,BEL,502827000000.0,1,Solar-energy,Mitigation,14,2.39257446,2.39257446
Belgium,BEL,502827000000.0,2,Bioenergy,Mitigation,12,3.1229301,3.1229301
Belgium,BEL,502827000000.0,3,Other-mitigation-projects,Mitigation,15,3.4970712199999996,3.4970712199999996
Belgium,BEL,502827000000.0,4,Biodiversity,Environment,29,6.07406722,0.0
Belgium,BEL,502827000000.0,6,Nature_conservation,Environment,137,29.262174528,0.0
Belgium,BEL,502827000000.0,7,Other-environment-projects,Environment,84,16.0128647011,0.0
Belgium,BEL,502827000000.0,8,Sustainable-land-use,Environment,310,47.912045125999995,0.0
Belgium,BEL,502827000000.0,10,Renewables-multiple,Mitigation,32,13.432065950999998,13.432065950999998
Belgium,BEL,502827000000.0,11,Hydro-energy,Mitigation,11,3.73765615,3.73765615
Belgium,BEL,502827000000.0,12,Energy-efficiency,Mitigation,2,0.0214938,0.0214938
Belgium,BEL,502827000000.0,13,Wind-energy,Mitigation,4,0.310656,0.310656
Canada,CAN,1637390000000.0,0,Adaptation,Adaptation,693,159.19403462306008,159.19403462306008
Canada,CAN,1637390000000.0,1,Solar-energy,Mitigation,19,4.3417179,4.3417179
Canada,CAN,1637390000000.0,2,Bioenergy,Mitigation,59,6.161988889999999,6.161988889999999
Canada,CAN,1637390000000.0,3,Other-mitigation-projects,Mitigation,188,41.03510718,41.03510718
Canada,CAN,1637390000000.0,4,Biodiversity,Environment,246,12.151697574799998,0.0
Canada,CAN,1637390000000.0,5,Geothermal-energy,Mitigation,7,0.223795,0.223795
Canada,CAN,1637390000000.0,6,Nature_conservation,Environment,202,28.035422437999998,0.0
Canada,CAN,1637390000000.0,7,Other-environment-projects,Environment,1469,306.3335503123401,0.0
Canada,CAN,1637390000000.0,8,Sustainable-land-use,Environment,1168,137.61500917299998,0.0
Canada,CAN,1637390000000.0,9,Marine-energy,Mitigation,2,0.069995,0.069995
Canada,CAN,1637390000000.0,10,Renewables-multiple,Mitigation,30,6.436452299999999,6.436452299999999
Canada,CAN,1637390000000.0,11,Hydro-energy,Mitigation,39,6.13833878,6.13833878
Canada,CAN,1637390000000.0,12,Energy-efficiency,Mitigation,60,18.70972342,18.70972342
Canada,CAN,1637390000000.0,13,Wind-energy,Mitigation,8,0.600066,0.600066
Denmark,DNK,329792000000.0,0,Adaptation,Adaptation,84,36.97345090999999,36.97345090999999
Denmark,DNK,329792000000.0,1,Solar-energy,Mitigation,26,2.0993060999999993,2.0993060999999993
Denmark,DNK,329792000000.0,2,Bioenergy,Mitigation,22,4.00764712,4.00764712
Denmark,DNK,329792000000.0,3,Other-mitigation-projects,Mitigation,38,6.2545214499999995,6.2545214499999995
Denmark,DNK,329792000000.0,4,Biodiversity,Environment,65,14.809157431,0.0
Denmark,DNK,329792000000.0,6,Nature_conservation,Environment,83,24.821128610000002,0.0
Denmark,DNK,329792000000.0,7,Other-environment-projects,Environment,441,191.84889230100003,0.0
Denmark,DNK,329792000000.0,8,Sustainable-land-use,Environment,259,191.95003130700002,0.0
Denmark,DNK,329792000000.0,10,Renewables-multiple,Mitigation,43,11.26423991,11.26423991
Denmark,DNK,329792000000.0,11,Hydro-energy,Mitigation,18,2.6721399,2.6721399
Denmark,DNK,329792000000.0,12,Energy-efficiency,Mitigation,30,6.1994746,6.1994746
Denmark,DNK,329792000000.0,13,Wind-energy,Mitigation,48,79.8676785,79.8676785
Finland,FIN,254965000000.0,0,Adaptation,Adaptation,72,16.523294659999998,16.523294659999998
Finland,FIN,254965000000.0,1,Solar-energy,Mitigation,36,7.389797699999999,7.389797699999999
Finland,FIN,254965000000.0,2,Bioenergy,Mitigation,31,2.0130158999999996,2.0130158999999996
Finland,FIN,254965000000.0,3,Other-mitigation-projects,Mitigation,22,13.706805300000001,13.706805300000001
Finland,FIN,254965000000.0,4,Biodiversity,Environment,70,7.143366238,0.0
Finland,FIN,254965000000.0,6,Nature_conservation,Environment,145,23.055918963099998,0.0
Finland,FIN,254965000000.0,7,Other-environment-projects,Environment,272,67.75258063999999,0.0
Finland,FIN,254965000000.0,8,Sustainable-land-use,Environment,266,99.27295157,0.0
Finland,FIN,254965000000.0,10,Renewables-multiple,Mitigation,47,13.10227197,13.10227197
Finland,FIN,254965000000.0,11,Hydro-energy,Mitigation,9,2.9348757,2.9348757
Finland,FIN,254965000000.0,12,Energy-efficiency,Mitigation,8,0.3660985,0.3660985
Finland,FIN,254965000000.0,13,Wind-energy,Mitigation,3,0.049969,0.049969
France,FRA,2601610000000.0,0,Adaptation,Adaptation,61,528.63274333,528.63274333
France,FRA,2601610000000.0,1,Solar-energy,Mitigation,11,0.0696281999999999,0.0696281999999999
France,FRA,2601610000000.0,2,Bioenergy,Mitigation,6,0.35454284999999996,0.35454284999999996
France,FRA,2601610000000.0,3,Other-mitigation-projects,Mitigation,72,18.075907899999997,18.075907899999997
France,FRA,2601610000000.0,4,Biodiversity,Environment,151,40.82526365999999,0.0
France,FRA,2601610000000.0,5,Geothermal-energy,Mitigation,15,1.426796,1.426796
