DonorName,country_code,gdp,climate_class_number,climate_class,meta_category,no_projects,effective_funding,climate_funding
Australia,AUS,1343450000000.0,0,Adaptation,Adaptation,396,211.9181012581999,211.9181012581999
Australia,AUS,1343450000000.0,1,Solar-energy,Mitigation,1,2.4689400000000004,2.4689400000000004
Australia,AUS,1343450000000.0,2,Bioenergy,Mitigation,4,20.9405541,20.9405541
Australia,AUS,1343450000000.0,3,Other-mitigation-projects,Mitigation,89,55.332148023000016,55.332148023000016
Australia,AUS,1343450000000.0,4,Biodiversity,Environment,9,1.694116,0.0
Australia,AUS,1343450000000.0,6,Nature_conservation,Environment,12,28.90032395,0.0
Australia,AUS,1343450000000.0,7,Other-environment-projects,Environment,40,24.309735651700002,0.0
Australia,AUS,1343450000000.0,8,Sustainable-land-use,Environment,104,26.655313620999998,0.0
Australia,AUS,1343450000000.0,9,Marine-energy,Mitigation,1,0.0229649,0.0229649
Australia,AUS,1343450000000.0,10,Renewables-multiple,Mitigation,49,31.46217950000001,31.46217950000001
Australia,AUS,1343450000000.0,11,Hydro-energy,Mitigation,20,6.2566547,6.2566547
Australia,AUS,1343450000000.0,12,Energy-efficiency,Mitigation,2,0.471026,0.471026
Austria,AUT,419437000000.0,0,Adaptation,Adaptation,24,13.499735699999999,13.499735699999999
Austria,AUT,419437000000.0,1,Solar-energy,Mitigation,31,2.7916482699999996,2.7916482699999996
Austria,AUT,419437000000.0,2,Bioenergy,Mitigation,10,1.3713030999999998,1.3713030999999998
Austria,AUT,419437000000.0,3,Other-mitigation-projects,Mitigation,8,2.4520074,2.4520074
Austria,AUT,419437000000.0,4,Biodiversity,Environment,10,0.46266657599999994,0.0
Austria,AUT,419437000000.0,5,Geothermal-energy,Mitigation,3,0.1751323,0.1751323
Austria,AUT,419437000000.0,6,Nature_conservation,Environment,23,2.0689994999999994,0.0
Austria,AUT,419437000000.0,7,Other-environment-projects,Environment,24,4.22741516,0.0
Austria,AUT,419437000000.0,8,Sustainable-land-use,Environment,65,10.77638431,0.0
Austria,AUT,419437000000.0,10,Renewables-multiple,Mitigation,29,15.9061941,15.9061941
Austria,AUT,419437000000.0,11,Hydro-energy,Mitigation,12,2.4836246,2.4836246
Austria,AUT,419437000000.0,12,Energy-efficiency,Mitigation,21,10.0387834,10.0387834
Belgium,BEL,502827000000.0,0,Adaptation,Adaptation,62,12.501182630000002,12.501182630000002
Belgium,BEL,502827000000.0,1,Solar-energy,Mitigation,2,0.014005009999999998,0.014005009999999998
Belgium,BEL,502827000000.0,2,Bioenergy,Mitigation,43,199.039737321,199.039737321
Belgium,BEL,502827000000.0,3,Other-mitigation-projects,Mitigation,17,3.3094388999999995,3.3094388999999995
Belgium,BEL,502827000000.0,4,Biodiversity,Environment,28,5.8052356000000005,0.0
Belgium,BEL,502827000000.0,5,Geothermal-energy,Mitigation,5,0.43493409999999977,0.43493409999999977
Belgium,BEL,502827000000.0,6,Nature_conservation,Environment,47,10.0947558252,0.0
Belgium,BEL,502827000000.0,7,Other-environment-projects,Environment,72,13.31137501,0.0
Belgium,BEL,502827000000.0,8,Sustainable-land-use,Environment,268,42.187115610000006,0.0
Belgium,BEL,502827000000.0,10,Renewables-multiple,Mitigation,17,18.5140371,18.5140371
Belgium,BEL,502827000000.0,11,Hydro-energy,Mitigation,9,14.7255632,14.7255632
Belgium,BEL,502827000000.0,13,Wind-energy,Mitigation,5,2.8657438000000006,2.8657438000000006
Canada,CAN,1637390000000.0,0,Adaptation,Adaptation,977,182.7721208114,182.7721208114
Canada,CAN,1637390000000.0,1,Solar-energy,Mitigation,13,2.0072164999999997,2.0072164999999997
Canada,CAN,1637390000000.0,2,Bioenergy,Mitigation,30,3.2961561899999996,3.2961561899999996
Canada,CAN,1637390000000.0,3,Other-mitigation-projects,Mitigation,156,337.7425596400001,337.7425596400001
Canada,CAN,1637390000000.0,4,Biodiversity,Environment,103,13.122752359999996,0.0
Canada,CAN,1637390000000.0,5,Geothermal-energy,Mitigation,11,0.1966001999999999,0.1966001999999999
Canada,CAN,1637390000000.0,6,Nature_conservation,Environment,169,10.867433043199998,0.0
Canada,CAN,1637390000000.0,7,Other-environment-projects,Environment,1423,127.06119108599998,0.0
Canada,CAN,1637390000000.0,8,Sustainable-land-use,Environment,1202,93.58155153009992,0.0
Canada,CAN,1637390000000.0,10,Renewables-multiple,Mitigation,58,265.49082669999996,265.49082669999996
Canada,CAN,1637390000000.0,11,Hydro-energy,Mitigation,21,0.65737176,0.65737176
